UniqueGameId,PlayerNumber,BoardLocation,Spin,Player1Loc,Player2Loc,Player3Loc,Player4Loc,Player5Loc,Player6Loc,SelectedMove,PlayerWonGame
da554f0e-bb2a-4c53-96dc-b0176f1e211c,1,45,5,11,15,47,46,45,14,11,0
d598f9ef-3ca0-443a-a38d-164f4a3020b6,1,45,5,11,15,47,46,45,14,11,0
ec2f9c35-c7d5-40ec-b95b-221bc731fb1c,1,45,5,11,55,47,57,62,48,11,0
b8785bb4-e6fa-40d7-9cbe-8e215cd80adb,6,45,5,46,73,76,47,27,11,11,0
809d11a2-20d7-4cb5-9777-a838e3a9fe28,4,45,5,38,43,40,50,40,41,50,1
08c01b06-290c-4955-b977-83218fe4e36f,4,45,5,38,43,40,50,40,41,50,1
d0392b2f-2003-4b39-a770-9fccb415e8e4,4,45,5,38,43,40,50,40,41,50,1
ed43468b-fa43-42e0-8ab0-4f0f962d2cbe,4,45,5,44,47,41,50,38,35,50,0
9a774ed1-2555-4cbd-ac23-5630d05aef08,4,45,5,44,47,41,50,38,35,50,0
d17d59a3-459b-4cb8-a3f7-646b59219992,4,45,5,44,47,41,50,38,35,50,0
c310c1b1-1c29-49df-83b3-91631e433d5c,4,45,5,46,26,36,11,35,49,11,0
6d5ed04b-3ff0-4856-87b1-2b61341f0a62,2,45,5,86,11,98,33,30,49,11,0
c684fe84-6e97-4adc-873b-839ad54cfadc,2,45,5,86,11,98,33,30,49,11,0
98b44959-8d74-49cc-bad8-f6bd14611cbc,2,45,5,86,11,98,33,30,49,11,0
8aca3d2e-2a2e-4266-aae9-84790746a8d9,2,45,5,86,50,98,33,30,49,50,0
d7008d07-550b-49d5-8070-9b0140ae296b,5,45,5,24,27,87,27,28,26,28,0
eebd5daa-7cab-48b6-9927-5936c3f1bf90,6,45,5,77,67,45,49,34,11,11,0
fc5dfbb2-38e6-49c6-80d9-0293028df198,6,45,5,77,67,45,49,34,11,11,0
8d6e0db5-1f01-4f0e-aece-c73f48644585,5,45,5,80,98,89,82,50,80,50,0
3c4c3937-e8c1-45c2-aca4-c9490ac603ce,6,45,5,43,49,78,14,50,50,50,0
29e03653-a4ce-4806-bca5-114bece2374e,6,45,5,43,49,78,14,50,50,50,0
e8ff6ee2-a74f-4dca-85ba-9b3430a9489c,6,45,5,43,49,78,14,50,50,50,1
e8ff6ee2-a74f-4dca-85ba-9b3430a9489c,1,45,5,11,85,26,47,86,78,11,0
e8ff6ee2-a74f-4dca-85ba-9b3430a9489c,5,45,5,78,85,91,88,11,85,11,0
e8ff6ee2-a74f-4dca-85ba-9b3430a9489c,6,45,5,85,35,88,86,87,11,11,1
e1ec99f7-0ae9-4ed7-a30f-8367dc6d90ef,2,45,5,40,50,41,40,41,43,50,0
37356bfa-6dce-4ccc-a270-fc372a7c0d6f,2,45,5,40,50,41,40,41,43,50,0
ab80ad99-2a43-4623-a818-8d5f8a336bce,2,45,5,40,50,41,40,41,43,50,0
919a3749-7a7d-4750-8a64-8f2ea0190eae,2,45,5,84,11,26,16,86,78,11,0
919a3749-7a7d-4750-8a64-8f2ea0190eae,5,45,5,83,27,80,44,11,82,11,0
347d272f-a536-4fe1-93c4-206313b3718c,2,45,5,53,50,53,44,47,44,50,0
b9c373a3-251c-4d5c-bea5-a5fdce338478,2,45,5,53,50,53,44,47,44,50,0
1a906494-894e-4674-9c33-bd0a06b15e00,2,45,5,53,50,53,44,47,44,50,0
b64d21b3-c1b5-4f50-a1ff-aab3f5bf611d,4,45,5,32,89,7,11,44,6,11,0
ea925b26-fc46-417c-b453-de0dafad209a,4,45,5,32,89,7,11,44,6,11,0
